"ID","ClassName","Likelihood","Impact","LikelihoodPenalty","ImpactPenalty","RiskID","SecurityControlID","SecurityComponentID"
252,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,9,77,38
253,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,87,38
254,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,87,38
255,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,4,87,38
256,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,8,87,38
257,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,6,87,38
258,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,9,87,38
259,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,71,38
260,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,3,71,38
261,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,71,38
262,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,8,71,38
263,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,6,71,38
264,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,9,71,38
265,"NZTA\SDLT\Model\ControlWeightSet",5,0,5,5,2,59,38
266,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,8,59,38
267,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,6,59,38
268,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,9,59,38
269,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,68,38
270,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,68,38
271,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,4,68,38
272,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,90,38
273,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,23,38
274,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,8,23,38
275,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,6,23,38
276,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,9,23,38
277,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,4,83,38
278,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,8,83,38
279,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,83,38
280,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,83,38
281,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,49,38
282,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,49,38
283,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,4,49,38
284,"NZTA\SDLT\Model\ControlWeightSet",5,0,0,0,2,48,38
285,"NZTA\SDLT\Model\ControlWeightSet",5,0,0,0,3,48,38
286,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,2,39,38
287,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,3,39,38
288,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,51,38
